,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
0,Piteå,65.32,21.48,51.8,93,1,3.36,SE,1596595874
1,Kosonsoy,41.26,71.55,82.4,37,60,4.7,UZ,1596595874
2,Grindavik,63.84,-22.43,48.2,100,90,17.22,IS,1596595447
3,Castro,-24.79,-50.01,50.31,93,0,4.59,BR,1596595373
4,Lebu,-37.62,-73.65,51.13,89,43,6.33,CL,1596595322
5,Vaini,-21.2,-175.2,75.2,69,20,6.93,TO,1596595372
6,Belmonte,-15.86,-38.88,71.6,60,20,5.82,BR,1596595527
7,Hermanus,-34.42,19.23,37.0,95,2,8.68,ZA,1596595362
8,Rikitea,-23.12,-134.97,73.15,90,92,12.26,PF,1596595450
9,Quelimane,-17.88,36.89,62.02,95,6,2.73,MZ,1596595876
10,Punta Arenas,-53.15,-70.92,37.4,77,70,9.17,CL,1596595361
11,Sambava,-14.27,50.17,66.9,81,38,11.34,MG,1596595876
12,Bengkulu,-3.8,102.27,79.75,77,100,12.68,ID,1596595364
13,Port Elizabeth,-33.92,25.57,50.0,93,90,5.82,ZA,1596595360
14,Gouyave,12.16,-61.73,80.6,83,20,9.17,GD,1596595877
15,Udachny,66.42,112.4,75.2,31,0,4.47,RU,1596595421
16,Khudumelapye,-23.88,24.75,46.87,54,0,4.85,BW,1596595878
17,Bandarbeyla,9.49,50.81,82.65,52,100,27.09,SO,1596595476
18,Kumul,42.8,93.45,96.13,15,3,13.33,CN,1596595143
19,Avarua,-21.21,-159.78,73.4,94,100,11.41,CK,1596595197
20,Ushuaia,-54.8,-68.3,50.0,37,20,14.99,AR,1596595060
21,Codrington,-38.27,141.97,48.38,68,90,12.97,AU,1596595450
22,Busselton,-33.65,115.33,57.99,81,5,1.99,AU,1596595457
23,Broome,42.25,-75.83,66.99,93,75,6.93,US,1596595413
24,Berdigestyakh,62.1,126.7,82.44,31,2,2.42,RU,1596595414
25,Sakaiminato,35.55,133.23,89.6,55,40,4.7,JP,1596595879
26,Bluff,-46.6,168.33,51.01,81,69,3.0,NZ,1596595377
27,Owensboro,37.77,-87.11,69.8,77,1,3.36,US,1596595711
28,Bitung,1.45,125.18,89.6,59,40,6.93,ID,1596595880
29,Kapaa,22.08,-159.32,82.99,69,75,13.87,US,1596595364
30,Batemans Bay,-35.72,150.18,55.99,54,12,5.99,AU,1596595881
31,Quixadá,-4.97,-39.02,71.15,85,45,3.22,BR,1596595881
32,Bethel,41.37,-73.41,72.0,78,1,3.36,US,1596595378
33,Lethem,3.38,-59.8,75.51,89,98,3.42,GY,1596595881
34,Severo-Kuril'sk,50.68,156.12,56.89,81,100,2.21,RU,1596595384
35,Homer,59.64,-151.55,60.01,87,90,11.41,US,1596595882
36,Qaanaaq,77.48,-69.36,29.46,90,62,0.72,GL,1596595367
37,Leshukonskoye,64.9,45.76,58.59,89,100,6.76,RU,1596595407
38,Itaituba,-4.28,-55.98,77.52,63,4,1.57,BR,1596595451
39,Vurnary,55.49,46.96,56.35,85,0,8.77,RU,1596595883
40,Mahébourg,-20.41,57.7,66.2,72,75,11.41,MU,1596595366
